喬峰,蕭峰
虛竹
段譽
阿朱
阿紫
鐘靈
王語嫣
木婉清
鍾靈
段正明
段正淳
刀白鳳
高陞泰
高泰明
范驊
巴天石
華赫艮
褚萬里
古篤誠
傅思歸
朱丹臣
秦紅棉
甘寶寶
阮星竹
李青蘿
康敏
慕容復
慕容博
鄧百川
公冶乾,江南第二
包不同,非也非也
風波惡,一陣風
鳩摩智,大輪明王
掃地僧
蕭遠山
無崖子
天山童姥,童姥
李秋水
蘇星河
丁春秋
段延慶,惡貫滿盈
葉二娘,無惡不作
岳老三,凶神惡煞,南海惡神
雲中鶴,窮凶極惡
游坦之,莊聚賢
萬劫谷
鍾萬仇,馬王神
甘寶寶
進喜兒
來福兒
柯百歲
崔百泉,霍先生,金算盤
過彥之,追魂鞭
左子穆
辛雙清
龔光傑
褚師弟
容子矩
干光豪
葛光佩
郁光標
吳光勝
唐光雄
司空玄
枯榮大師
本因大師
本觀
本相
本參
本塵,保定帝,段正明
黃眉僧
破嗔
破痴
譚青,追魂杖
孫三霸,小煞神
靈門
玄悲
玄慈
玄慚
玄生
玄鳴
玄石
玄渡,杜老先生
玄愧
玄念
玄淨
玄難
玄寂
玄痛
玄澄
玄滅
玄苦
慧真
慧觀
慧淨,抓冰蠶者
慧方
慧鏡
慧輪
虛清
虛湛
虛淵
五葉大師
青松
緣根
阿碧
瑞婆婆
平婆婆
幽草
王雲蘿
小翠
小蘭
小詩
小茗
賈老者
嚴媽媽
老顧
姚伯當
諸保昆
海風子
都靈子
司馬林
姜老者
孟老者
包不靚
馬大元
汪劍通,劍髯
蔣舵主
謝副舵主
奚山河
吳長風
宋長老
陳孤雁,長臂叟
全冠清,十方秀才
張全祥
方舵主
白世鏡
李春來
項長老
劉竹莊
徐沖霄
譚公
譚婆
趙錢孫
智光大師,萬家生佛
喬三槐
玄苦大師
單正,鐵面判官
單伯山
單仲山
單叔山
單季山
單小山
祁老六,快刀祁六
向望海,湘東
鮑千靈,沒本錢
游驥
游駒
康廣陵,琴顛
范百齡,棋魔
苟讀,書獃
吳領軍,畫狂
薛慕華,神醫
馮阿三,巧匠
石清風,花癡
李傀儡,戲迷
天山童姥,童飄雲,巫行雲
符聖使
余婆
石嫂
符敏儀,針神
程青霜
珠崖大怪,珠崖雙怪
珠崖二怪,珠崖雙怪
梅劍
蘭劍
竹劍
菊劍
桑土公
玄黃子
章達夫
端木元
黎夫人
烏老大
不平道人,蛟王
崔綠華,芙蓉仙子
卓不凡,劍神
欽島主
霍洞主
司馬島主
於洞主
安洞主
九翼道人,雷動於九天之上
區島主
霍洞主
雲島主
哈大霸
獅吼子
出塵子
摘星子
天狼子
耶律洪基,耶律基
室里
耶律涅魯古
耶律重元
耶律莫哥
夢姑,銀川公主,李清露
金二哥
赫連鐵樹
努兒海
女真族
王通治,儒醫生
完顏阿骨打
和哩布
許卓誠
神山上人
觀心大師
道清大師
覺賢大師
融智大師
神音大師
哲羅星
波羅星
諸葛中
宗贊
太皇太后高氏
趙煦
范祖禹
蘇轍
范純仁
穆貴妃
張將軍
馬五德
梁阿婆
五葉大師
駱氏三雄
章虛道人
蔡慶圖
